접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2011,11140,중구,16800,순화동,1,대지,215,0,바비엥3,2011-06-25,32000,65.71,14.0,2006.0,아파트,2011,6,486.99,147.31,1,중구 순화동 215,37.5631523,126.9696552
2017,11620,관악구,10100,봉천동,1,대지,1729,0,서희스타힐스,2017-08-28,48300,84.93,5.0,2015.0,아파트,2017,8,568.7,172.03,1,관악구 봉천동 1729,37.4886383,126.9594849
2022,11290,성북구,11500,삼선동5가,1,대지,43,6,젬스톤빌리지,2022-05-01,38700,48.4,2.0,2014.0,연립다세대,2022,5,799.59,241.88,1,성북구 삼선동5가 43-6,37.5887935,127.0150281
2022,11500,강서구,10300,화곡동,1,대지,340,90,가온빌,2022-01-18,19000,29.84,2.0,2014.0,연립다세대,2022,1,636.73,192.61,1,강서구 화곡동 340-90,37.5336709,126.8476589
2022,11260,중랑구,10100,면목동,1,대지,90,25,위너빌,2022-03-04,30900,34.53,2.0,,오피스텔,2022,3,894.87,270.7,1,중랑구 면목동 90-25,37.5933271,127.0901646
2017,11440,마포구,12600,중동,1,대지,393,0,건영월드컵,2017-08-31,39000,58.76,11.0,2002.0,아파트,2017,8,663.72,200.77,1,마포구 중동 393,37.5688126,126.9117572
2016,11710,송파구,10800,문정동,1,대지,145,0,문정시영,2016-04-02,31000,46.26,2.0,1989.0,아파트,2016,4,670.13,202.71,1,송파구 문정동 145,37.4905974,127.1354467
2020,11440,마포구,10200,공덕동,1,대지,463,0,마포현대하이엘,2020-04-23,23800,31.38,19.0,2005.0,오피스텔,2020,4,758.44,229.43,1,마포구 공덕동 463,37.5498132,126.954399
2018,11110,종로구,18200,구기동,1,대지,223,1,"풍림빌라2차(A,B,C동)",2018-02-20,125000,218.55,3.0,1990.0,연립다세대,2018,2,571.95,173.02,1,종로구 구기동 223-1,37.6142818,126.9543804
2022,11320,도봉구,10800,도봉동,1,대지,602,17,한양빌라(602-17),2022-01-15,8000,36.89,-1.0,1991.0,연립다세대,2022,1,216.86,65.6,1,도봉구 도봉동 602-17,37.6748268,127.0429703
2021,11350,노원구,10500,상계동,1,대지,1255,0,은빛1단지,2020-12-31,50700,59.95,1.0,1998.0,아파트,2020,12,845.7,255.83,1,노원구 상계동 1255,37.6815167,127.0538446
2018,11560,영등포구,12700,양평동3가,1,대지,24,0,삼천리,2018-04-03,64500,84.94,8.0,2000.0,아파트,2018,4,759.36,229.71,1,영등포구 양평동3가 24,37.5261328,126.8855823
2020,11290,성북구,10700,동소문동4가,1,대지,75,2,부라다리빙텔,2020-04-28,11400,22.8,6.0,2003.0,오피스텔,2020,4,500.0,151.25,1,성북구 동소문동4가 75-2,37.5908834,127.0106846
2013,11650,서초구,10100,방배동,1,대지,539,89,벨뷔,2013-07-16,60000,71.43,3.0,2008.0,연립다세대,2013,7,839.98,254.09,1,서초구 방배동 539-89,37.4774647,126.9929887
2017,11290,성북구,13800,장위동,1,대지,230,119,동해로얄맨션,2016-11-22,19000,62.27,3.0,1996.0,연립다세대,2016,11,305.12,92.3,1,성북구 장위동 230-119,37.6155994,127.0412799
2018,11500,강서구,10300,화곡동,1,대지,997,20,대성탑스빌에이동(997-20),2018-04-25,18400,57.36,2.0,2004.0,연립다세대,2018,4,320.78,97.04,1,강서구 화곡동 997-20,37.5521331,126.8487437
2017,11500,강서구,10300,화곡동,1,대지,351,89,중앙화곡하이츠,2017-01-09,26700,74.16,3.0,1988.0,아파트,2017,1,360.03,108.91,1,강서구 화곡동 351-89,37.5357163,126.8436854
2021,11230,동대문구,10500,답십리동,1,대지,530,4,보광타워,2021-03-26,24500,24.27,14.0,2019.0,아파트,2021,3,1009.48,305.37,1,동대문구 답십리동 530-4,37.5703569,127.0501136
2021,11380,은평구,10300,불광동,1,대지,346,52,더힐,2021-06-17,30000,38.62,2.0,2015.0,연립다세대,2021,6,776.8,234.98,1,은평구 불광동 346-52,37.6198518,126.9283839
