접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2022,11290,성북구,13800,장위동,1,대지,65,206,3.0,20220117,전세,26.39,14700,0,퀸즈빌4차,2020.0,연립다세대,성북구 장위동 65-206,37.6101685,127.0541766,557.03,168.5
2020,11290,성북구,13300,정릉동,1,대지,254,95,3.0,20201014,전세,68.25,15000,0,삼보정보빌라,2001.0,연립다세대,성북구 정릉동 254-95,37.6143094,127.0096173,219.78,66.48
2019,11500,강서구,10300,화곡동,1,대지,24,90,4.0,20190705,전세,79.55,28000,0,근상프리즘,2007.0,아파트,강서구 화곡동 24-90,37.5464703,126.8457065,351.98,106.47
2014,11260,중랑구,10600,신내동,1,대지,796,0,9.0,20141205,전세,84.87,20000,0,다우훼밀리,1999.0,아파트,중랑구 신내동 796,37.6003846,127.0962401,235.65,71.29
2015,11650,서초구,10800,서초동,1,대지,1682,0,3.0,20150606,전세,111.32,77000,0,서초래미안,2003.0,아파트,서초구 서초동 1682,37.4985559,127.0188871,691.7,209.24
2015,11350,노원구,10500,상계동,1,대지,626,0,9.0,20150715,월세,49.94,2000,60,상계주공14(고층),1989.0,아파트,노원구 상계동 626,37.6692326,127.0581822,40.05,12.11
2012,11140,중구,16200,신당동,1,대지,844,0,4.0,20121016,전세,114.88,40000,0,남산타운,2002.0,아파트,중구 신당동 844,37.5490132,127.0092806,348.19,105.33
2019,11680,강남구,11800,도곡동,1,대지,467,17,21.0,20181229,월세,111.39,80000,150,타워팰리스2,2003.0,아파트,강남구 도곡동 467-17,37.4897104,127.0544907,718.2,217.25
2019,11290,성북구,13500,종암동,1,대지,80,0,9.0,20190914,전세,84.95,36000,0,삼성래미안,2004.0,아파트,성북구 종암동 80,37.6009873,127.0301555,423.78,128.19
2020,11200,성동구,11000,금호동2가,1,대지,1,0,11.0,20200605,월세,84.98,60000,60,신금호파크자이,2016.0,아파트,성동구 금호동2가 1,37.5554459,127.018621,706.05,213.58
2016,11740,강동구,10700,암사동,1,대지,509,0,2.0,20160201,전세,83.67,40000,0,선사현대아파트,2000.0,아파트,강동구 암사동 509,37.552396,127.1258146,478.07,144.62
2011,11260,중랑구,10300,중화동,1,대지,315,37,,20110517,월세,20.43,500,12,(315-37),1990.0,연립다세대,중랑구 중화동 315-37,37.599203,127.0761426,24.47,7.4
